"","player","height","weight","birth_year"
"381","Anthony Carter",185,86,1975
"382","John Celestand",193,80,1977
"383","Vonteego Cummings",190,83,1976
"384","Baron Davis",190,94,1979
"385","Derrick Dial",193,83,1975
"386","Obinna Ekezie",206,122,1975
"387","Evan Eschmeyer",211,115,1975
"388","Jeff Foster",211,107,1977
"389","Steve Francis",190,88,1977
"390","Devean George",203,99,1977
"391","Dion Glover",196,103,1978
"392","Adrian Griffin",196,98,1974
"393","Richard Hamilton",198,83,1978
"394","Chris Herren",188,89,1975
"395","Derek Hood",203,100,1976
"396","Jermaine Jackson",193,92,1976
"397","Tim James",201,96,1976
"398","Harold Jamison",203,117,1976
"399","Jumaine Jones",203,98,1979
"400","Lari Ketner",206,125,1977
"401","Trajan Langdon",190,89,1976
"402","Quincy Lewis",201,97,1977
"403","Todd MacCulloch",213,127,1976
"404","Corey Maggette",198,98,1979
"405","Shawn Marion",201,99,1978
"406","Andre Miller",206,102,1971
"407","Jason Miskiri",188,79,1975
"408","Lamar Odom",208,99,1979
"409","Scott Padgett",206,108,1976
"410","Milt Palacio",190,88,1978
"411","James Posey",203,97,1977
"412","Laron Profit",196,92,1977
"413","Aleksandar Radojevic",221,113,1976
"414","Ryan Robertson",196,86,1976
"415","Eddie Robinson",203,95,1976
"416","Michael Ruffin",206,111,1977
"417","Jason Terry",188,83,1977
"418","Jamel Thomas",198,97,1973
"419","Kenny Thomas",201,118,1977
"420","Mirsad Turkcan",206,107,1976
"421","Wayne Turner",188,86,1976
"422","Dedric Willoughby",190,81,1974
"423","Metta World",190,81,1974
"424","Tim Young",213,99,1976
"425","Courtney Alexander",185,83,1973
"426","Dalibor Bagaric",216,115,1980
"427","Erick Barkley",185,80,1978
"428","Raja Bell",196,92,1976
"429","Mark Blount",213,104,1975
"430","Brian Cardinal",203,111,1977
"431","Mateen Cleaves",188,92,1977
"432","Jason Collier",193,88,1973
"433","Sean Colson",183,79,1975
"434","Jamal Crawford",196,90,1980
"435","Keyon Dooling",190,88,1980
"436","Khalid El-Amin",178,90,1979
"437","Marcus Fizer",206,118,1978
"438","Ruben Garces",206,111,1973
"439","Eddie Gill",183,86,1978
"440","Steve Goodrich",208,99,1976
"441","A.J. Guyton",208,99,1976
"442","Zendon Hamilton",211,113,1975
"443","Jason Hart",190,83,1978
"444","Donnell Harvey",203,99,1980
"445","Eddie House",185,81,1978
"446","Stephen Jackson",190,83,1970
"447","Garth Joseph",218,142,1973
"448","Dan Langhi",211,99,1977
"449","Art Long",206,113,1972
"450","Mark Madsen",206,108,1976
"451","Jamaal Magloire",211,117,1978
"452","Kenyon Martin",206,106,1977
"453","Desmond Mason",201,101,1977
"454","Dan McClintock",213,122,1977
"455","Paul McPherson",193,95,1978
"456","Stanislav Medvedenko",208,113,1979
"457","Chris Mihm",213,120,1979
