"","match_clock","quarter","quarter_clock","shot_clock","shot_outcome","shooter_X","shooter_Y","defender_lastname","defender_firstname","player_distance","defender_height","shot_dist","def_angle","LeftOrRight","def_reyting","distance","rowNum"
"258",926.14,3,206.14,4.57,0,3.75997,2.20173,"Larkin","Shane",3.92665190797453,180,22.8469101717016,8.72650996446426,"0",110,0.657670715730449,"112R"
"259",1038.97,3,318.97,17.73,0,76.79474,46.57014,"Walker","Kemba",4.522979871,185,24.66169462,51.4761882,"0",105,0.429552957557352,"113R"
"260",189.98,4,189.98,10.34,0,25.10167,7.43418,"Hill","Solomon",4.55137240419854,201,26.50748637765,32.5347468456205,"0",103,0.642963733386709,"114R"
"261",2528.3,1,368.3,17.11,0,64.29587,36.19798,"Lowry","Kyle",6.12077925386139,183,26.8960820592387,77.3648091801437,"0",104,0.562754014170597,"115R"
"262",2599.44,1,439.44,14.78,0,27.45586,10.32304,"Mayo","O.J.",3.12057712627007,201,26.6179145160022,58.7214552672264,"0",110,0.457558415748171,"116R"
"263",2822.86,1,662.86,16,1,85.15073,47.05492,"Lillard","Damian",6.63471107564602,190,22.3466829918738,56.2744139446128,"0",110,0.355667718145357,"117R"
"264",2675.86,1,515.86,14,1,4.70164,2.45913,"Rondo","Rajon",4.19735108736451,185,22.5475390906968,27.3092733374644,"0",107,0.532088128577151,"118R"
"265",2829.93,1,669.93,18.31,0,34.6043,29.07367,"Monroe","Greg",6.82704902900953,211,29.6356156635711,27.1185094925681,"0",106,0.529209016141582,"119R"
"266",1350.96,3,630.96,15.64,0,30.30558,31.42737,"Harris","Gary",4.77498750110406,193,25.8668354124214,63.0805034280606,"0",111,0.481130437297206,"120R"
"267",1674.04,2,234.04,13.04,0,25.1736,10.64259,"Lee","Courtney",5.13211110886154,196,24.5577901869875,8.47150031385971,"0",109,0.494013225929229,"121R"
"268",55.33,4,55.33,4.42,0,75.71388,47.75813,"Mayo","O.J.",2.5762684073093,201,26.2273312739078,10.2900948682457,"0",110,0.520911088762079,"122R"
"269",908.38,3,188.38,8.66,1,62.44089,34.12774,"Miller","Andre",4.46678101066081,206,27.8475296301072,8.33625329871752,"0",108,0.541470517983356,"123R"
"270",104.58,4,104.58,18.19,1,19.684,4.145,"Gallinari","Danilo",4.86651044738425,208,25.3627952126732,30.105993961635,"0",111,0.370711628480652,"124R"
"271",748.44,3,28.44,22.09,0,28.98034,12.68516,"Jack","Jarrett",9.47257236142855,190,26.7354506365836,15.0676777806431,"0",112,0.427052606565823,"125R"
"272",2842.59,1,682.59,12.81,1,14.56355,2.3555,"Carter-Williams","Michael",5.34090261204977,198,24.4850075322124,68.0528512723703,"0",107,0.568701545681887,"126R"
"273",2725.42,1,565.42,7,1,66.16907,34.79042,"Bradley","Avery",5.71151393984116,188,24.6120036454024,2.05098611552709,"0",106,0.60149929590134,"127R"
"274",1488.53,2,48.53,18.76,0,63.41634,15.45071,"Nelson","Jameer",4.15099691588659,183,27.0736637435664,24.1340811678765,"0",112,0.35206069730992,"128R"
"275",2499.89,1,339.89,11.09,1,7.67656,2.73384,"Nelson","Jameer",3.82953090031925,183,22.3979926461993,51.1453717586007,"0",112,0.514572759987768,"129R"
"276",1562.38,2,122.38,18.92,0,74.90816,47.83135,"Bradley","Avery",5.06928621769377,188,26.6995707345287,2.94503478252263,"0",106,0.415322250607866,"130R"
"277",1245.43,3,525.43,20.72,1,65.52706,35.36251,"Drummond","Andre",6.05769606660817,211,25.4300325549084,127.723900081157,"0",98,0.493062328609316,"131R"
"278",1625.38,2,185.38,18.23,1,73.33147,44.34998,"Hill","George",8.36385980201127,190,24.7417217137632,35.2390568125266,"0",106,0.458860529796788,"132R"
"279",2570.8,1,410.8,19,1,28.15562,14.42516,"Smith","Ish",5.36546656857537,183,25.2288459627071,98.8682225250983,"0",110,0.473479925285389,"133R"
"280",2196.4,1,36.4,16.9,1,67.21681,38.06487,"Price","Ronnie",5.82794532065118,188,25.1866849683121,9.03447032527201,"0",108,0.419127611957845,"134R"
"281",2275.63,1,115.63,23.89,1,61.43067,30.30307,"Booker","Devin",12.1070965179807,198,27.8292713356602,2.06052560434971,"0",112,0.376927790498783,"135R"
"282",2647.62,1,487.62,11.74,0,89.78186,46.46691,"Lillard","Damian",4.21678053042839,190,21.4916951403955,9.40801776654897,"0",110,0.338419672859627,"136R"
"283",2195.27,1,35.27,18,0,63.13899,37.67031,"Bargnani","Andrea",5.07572514264711,213,28.5737744919393,71.3957943737609,"0",115,0.323735758531188,"137R"
"284",1769.61,2,329.61,19.95,0,11.43595,1.98888,"Anderson","James",4.4151171569733,198,23.8280847123074,59.141958903121,"0",111,0.364523569563045,"138R"
"285",1053.47,3,333.47,17.89,1,79.87142,47.39061,"Barnes","Matt",9.245249547,201,24.08668925,58.07730677,"0",107,0.420726935771142,"139R"
"286",2507.2,1,347.2,13.48,1,79.23364,46.94424,"Williams","Marvin",6.73732621479026,185,23.9188372800017,28.8747480513284,"0",108,0.469956346936564,"140R"
"287",429.16,4,429.16,16.95,1,20.97612,5.23754,"Lowry","Kyle",2.59599723824968,183,25.2560027618386,108.701249462001,"0",104,0.558249022635182,"141R"
"288",308.17,4,308.17,10.66,1,70.11318,42.08529,"Rondo","Rajon",6.32206618757666,185,25.2831602869677,1.35008522957819,"0",107,0.554184802895837,"142R"
"289",733.02,3,13.02,6.8,0,31.40253,19.3832,"Douglas","Toney",1.30204777992207,188,26.7488928301883,86.6673232121609,"0",109,0.630159479299029,"143R"
"290",2296.29,1,136.29,8.38,0,4.55044,3.26392,"Miller","Andre",6.21864093001839,206,21.7473345024166,2.16982484439444,"0",108,0.561908651928769,"144R"
"291",1857.39,2,417.39,19.33,1,31.86513,17.24674,"Roberts","Brian",4.8566724233162,185,27.7214390958424,9.8445562084756,"0",109,0.463638096114571,"145R"
"292",155.84,4,155.84,16.73,1,31.21066,25.19218,"Joseph","Cory",2.58818418023138,190,25.9613713194816,170.52872623314,"0",108,0.522817651365911,"146R"
