"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"359",36,21500592,1051.56,3,331.56,20.65,201939,"Curry","Stephen",1610612744,346,1,64.45777,31.86278,101150,"Williams","Lou",1610612747,70.73385,30.97556,6.338480851,190,185,5,25.24302255,7.729158723,"Right"
"423",4,21500003,2717.18,1,557.18,19.9,201939,"Curry","Stephen",1610612744,20,1,32.06145,34.13058,101126,"Robinson","Nate",1610612740,26.70344,30.38306,6.53851491628642,190,175,15,28.3235121804994,16.1636970891901,"Left"
"711",7,21500003,2570.8,1,410.8,19,201939,"Curry","Stephen",1610612744,38,1,28.15562,14.42516,202397,"Smith","Ish",1610612740,31.12869,18.8916,5.36546656857537,190,183,7,25.2288459627071,98.8682225250983,"Right"
"944",9,21500003,2465.26,1,305.26,20.11,201939,"Curry","Stephen",1610612744,55,1,29.29856,39.24411,202397,"Smith","Ish",1610612740,25.18983,35.80489,5.35816166434907,190,183,7,27.9504545180521,9.29255859073024,"Left"
"1212",12,21500003,2349.33,1,189.33,10.74,201939,"Curry","Stephen",1610612744,85,0,30.45367,30.92155,201582,"Ajinca","Alexis",1610612740,19.93747,27.13287,11.1778601969429,190,218,-28,25.8899543427832,6.59088806490007,"Left"
"1812",18,21500003,1805.51,2,365.51,10.24,201939,"Curry","Stephen",1610612744,209,0,15.35994,3.29338,101126,"Robinson","Nate",1610612740,17.36246,4.63149,2.40844861321557,190,175,15,23.9455264846693,81.2225638152172,"Right"
"2510",25,21500003,1573.49,2,133.49,9.86,201939,"Curry","Stephen",1610612744,253,0,15.03069,3.16369,202397,"Smith","Ish",1610612740,16.21706,10.25535,7.19020968626785,190,183,7,23.9266865924265,33.6251759337358,"Right"
"2610",26,21500003,1518.95,2,78.95,8.25,201939,"Curry","Stephen",1610612744,262,0,10.92927,2.53141,201583,"Anderson","Ryan",1610612740,9.63463,7.75675,5.38333268944062,190,208,-18,23.175237740334,0.269754667339216,"Right"
"3110",31,21500003,1042.68,3,322.68,6.85,201939,"Curry","Stephen",1610612744,364,0,69.20041,41.17906,201583,"Anderson","Ryan",1610612740,71.07152,35.23465,6.23193893424831,190,208,-18,25.3761394158312,32.9168236219255,"Right"
"3310",33,21500003,926.16,3,206.16,20.82,201939,"Curry","Stephen",1610612744,397,1,66.41861,36.71151,201583,"Anderson","Ryan",1610612740,76.47408,32.27657,10.9900486679769,190,208,-18,25.2160751468622,3.87462809192708,"Right"
"503",7,21500035,2551.37,1,391.37,18.91,201939,"Curry","Stephen",1610612744,57,0,60.85392,27.07319,202397,"Smith","Ish",1610612740,66.29673,32.43159,7.63784205493279,190,183,7,27.9730119247553,48.8025631723913,"Left"
"516",8,21500035,2404.94,1,244.94,19.79,201939,"Curry","Stephen",1610612744,100,1,63.82124,37.70281,201962,"Douglas","Toney",1610612740,66.73722,34.29684,4.4837005922898,190,188,2,27.9786428733364,22.4301407388283,"Right"
