"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"1010",27,21500314,1609.77,2,169.77,15.7,101139,"Miles","CJ",1610612754,239,1,23.76117,7.71327,2738,"Iguodala","Andre",1610612744,22.70001,13.13819,5.52773168234494,NA,198,NA,25.3277406979343,35.8912071621893,"Right"
"1013",30,21500314,1515.19,2,75.19,9,101139,"Miles","CJ",1610612754,252,1,17.92215,2.71707,202691,"Thompson","Klay",1610612744,13.2895,8.55023,7.44897319152781,NA,201,NA,25.6342028354189,8.82973379247712,"Right"
"1014",31,21500314,1491.96,2,51.96,21.32,202691,"Thompson","Klay",1610612744,254,1,74.17412,4.96968,101139,"Miles","CJ",1610612754,74.0042,21.84149,16.8726656306139,201,NA,NA,24.7723635746935,36.6200580033523,"Left"
"1015",32,21500314,1480.26,2,40.26,14.04,101139,"Miles","CJ",1610612754,258,0,17.68129,3.25911,2738,"Iguodala","Andre",1610612744,20.51361,7.67672,5.24760085129386,NA,198,NA,25.0440266142687,62.4263026436311,"Right"
"1016",33,21500314,1447.94,2,7.94,4.44,201939,"Curry","Stephen",1610612744,264,0,70.70768,42.37348,101139,"Miles","CJ",1610612754,72.04939,38.40907,4.18529955585022,190,NA,NA,25.0472177754896,27.3841108259054,"Right"
"1022",39,21500314,895.06,3,175.06,14.56,101139,"Miles","CJ",1610612754,351,1,67.65145,38.61372,202691,"Thompson","Klay",1610612744,71.93706,35.77536,5.1403054930325,NA,201,NA,25.1094043007973,0.684611719357833,"Right"
"1034",51,21500314,445.03,4,445.03,11.29,101139,"Miles","CJ",1610612754,430,1,68.70653,40.66978,2738,"Iguodala","Andre",1610612744,69.00746,37.8663,2.81958489414665,NA,198,NA,25.4417510185384,45.8553067553652,"Right"
"1036",53,21500314,377,4,377,10,101139,"Miles","CJ",1610612754,435,1,73.0621,39.92445,2733,"Livingston","Shaun",1610612744,71.83478,28.5692,11.4213841956612,NA,201,NA,21.6529308457885,52.5974249731951,"Right"
"1039",56,21500314,308.36,4,308.36,16.72,101139,"Miles","CJ",1610612754,449,0,66.69175,43.01906,201939,"Curry","Stephen",1610612744,69.17815,39.20763,4.55073440280797,NA,190,NA,28.4825019326972,17.6365555428453,"Right"
"1041",58,21500314,263.93,4,263.93,16.59,202691,"Thompson","Klay",1610612744,457,0,29.98063,37.09161,101139,"Miles","CJ",1610612754,22.49204,36.12917,7.55018350384281,201,NA,NA,27.5283688690231,18.7319581321998,"Left"
"1045",62,21500314,50.57,4,50.57,22.41,101139,"Miles","CJ",1610612754,502,0,59.30216,32.01286,201575,"Rush","Brandon",1610612744,66.74802,32.05771,7.44599507534755,NA,198,NA,30.2713641259392,13.7403194351299,"Left"
"1052",6,21500336,2633.66,1,473.66,17.86,202738,"Thomas","Isaiah",1610612738,34,0,29.25208,29.78255,203546,"Clark","Ian",1610612744,25.30863,31.86159,4.4579373284177,NA,190,NA,24.4739173167865,39.0677212692067,"Right"
"1053",7,21500336,2627.94,1,467.94,22.38,201939,"Curry","Stephen",1610612744,33,0,64.24119,40.88638,202738,"Thomas","Isaiah",1610612738,68.92757,38.1494,5.42708181482461,190,NA,NA,29.2071709879697,2.66477673379593,"Right"
"1062",16,21500336,2359.87,1,199.87,18,203546,"Clark","Ian",1610612744,80,0,69.29581,41.59383,202738,"Thomas","Isaiah",1610612738,86.04995,36.53942,17.4999505024357,190,NA,NA,25.5699179237048,23.6755872476096,"Right"
"1071",25,21500336,1705.82,2,265.82,1.54,202738,"Thomas","Isaiah",1610612738,206,0,28.19157,17.19874,201575,"Rush","Brandon",1610612744,24.20149,20.15305,4.96474430182462,NA,198,NA,24.2317001395383,17.7362008182081,"Right"
"1079",33,21500336,1165.43,3,445.43,12.01,203546,"Clark","Ian",1610612744,326,0,5.09438,47.47712,202738,"Thomas","Isaiah",1610612738,11.02199,41.29896,8.56190523760337,190,NA,NA,22.4776587099013,43.4176531785014,"Left"
"1082",36,21500336,1001.86,3,281.86,13.59,202738,"Thomas","Isaiah",1610612738,360,0,67.76651,12.44344,203105,"Ezeli","Festus",1610612744,71.35486,16.62116,5.50723162041511,NA,211,NA,24.4535079613069,18.4434978487306,"Left"
"1084",38,21500336,950.45,3,230.45,19.78,202738,"Thomas","Isaiah",1610612738,376,0,72.14395,42.50368,203546,"Clark","Ian",1610612744,67.86486,37.35543,6.69440731436325,NA,190,NA,24.1275715757906,83.2250228146241,"Right"
"1085",39,21500336,925.96,3,205.96,7.35,203482,"Olynyk","Kelly",1610612738,387,0,69.53425,10.21134,203949,"McAdoo","James Michael",1610612744,73.85652,14.26463,5.92546857024827,213,NA,NA,24.2476702521727,5.57829552866386,"Left"
"1088",42,21500336,666.99,4,666.99,11.4,203482,"Olynyk","Kelly",1610612738,434,1,71.31432,43.28707,203949,"McAdoo","James Michael",1610612744,74.5098,37.54949,6.56741324166525,213,NA,NA,25.2669718456189,14.5195890045708,"Right"
"1090",44,21500336,514.5,4,514.5,8.15,203110,"Green","Draymond",1610612744,463,0,29.89579,28.32164,101135,"Lee","David",1610612738,17.86769,21.19828,13.9791790638649,201,NA,NA,24.868619925796,22.9593480300127,"Left"
"1091",45,21500336,453.81,4,453.81,15.28,202738,"Thomas","Isaiah",1610612738,475,1,70.10312,10.86698,2733,"Livingston","Shaun",1610612744,68.16201,18.74787,8.11642379525614,NA,201,NA,23.3976150078336,66.6773060163114,"Left"
